feature,importance
altitude_m,0.6487218976216366
relative_humidity_2m,0.06516563587407082
ground_speed,0.05772819949610082
ekf_pos_err,0.0339789545684956
temperature_2m,0.03263575596818586
wind_cos,0.028466089257242602
motor_mean,0.023626836133445663
tilt_mag_deg,0.017954269966970682
wind_gusts_10m,0.011044106806461914
surface_pressure,0.009779448861695097
headwind_comp,0.009163736724240791
wind_sin,0.008674629034364162
rel_wind_abs_deg,0.007898233531750412
wind_speed_10m,0.006771489679101249
motor_std,0.00624757158434026
att_err_mag,0.006165369564192621
vibe_mag,0.0061432992796072415
rate_mag,0.005663536767375848
crosswind_comp,0.005324830655320428
throttle_err,0.005076244747579529
climb_err,0.00376986387782169
