feature,importance
ground_speed_ms,0.7781189746418482
Altitude,0.1708181801360037
rel_wind_abs_deg,0.011892899095972647
headwind_component,0.011829170457570815
crosswind_component,0.010848611843722348
relative_humidity_2m,0.004083215143006643
wind_cos,0.003083526746484685
wind_sin,0.00240255958718461
gust_roll_max_10s,0.0017242323726288707
surface_pressure,0.00167612381656333
temperature_2m,0.0015197884008080053
wind_gusts_10m,0.001036038880966424
camera_ir,0.0005232772894878031
ws_roll_mean_10s,0.00022928024823609534
wind_speed_10m,0.00021412133951592786
